S1_1	S1_2	S1_3	S1_4	S1_5	S1_6	S1_7	S1_8	S1_9	S2_1	S2_2	S2_3	S2_4	S2_5	S2_6	S2_7	S2_8	S2_9
AP_004893.1	0.141976782985159	0.165355231844809	0.762819539183953	0.945317246006768	0.866255425295639	-1.92944672798107	-0.646006454439304	-1.28318727508933	-0.432143270180817	-1.02712266195068	0.48833086549866	-0.93909453098509	-0.702968460445067	-1.71486278728509	-0.19120967752142	-0.879471225630759	-0.2440477738828	0.396460681158076
AP_004894.1	0.794711357521608	-0.315199005898012	-0.0913574095209263	0.197413391318742	0.303385840117773	-0.175053624900288	-0.352719661419743	-1.17620043841158	-0.64388172262497	-0.512495432432276	-0.442832656210607	-0.236417513783331	-0.671180864868617	-1.37304077547244	-0.746299495270464	-1.35153658790695	-0.222749287605447	-0.833810280807032
AP_004895.1	0.207843341464518	-0.608975615802213	-0.286720893778112	-0.384027079444145	-0.116206246371607	-0.69084677046478	-1.1240966821906	-0.714038326403833	-0.665257515921444	0.284367572407951	-0.131255464451586	-0.147703757750507	-0.435294977228815	-0.637160883451404	-0.615078788240211	-0.681918020598181	-0.16021202075496	-0.397897851116949
AP_004896.1	-0.14948492130106	-0.73143682272639	-0.366433907822133	-0.535227972365497	-0.174239050700554	-1.0372326832763	-1.29450714506987	-0.829974887034512	-0.706078344918579	0.193954048558099	-0.168842222156852	-0.227435771326311	-0.422269757177067	-0.525126384467685	-0.674106386778633	-0.654331101620643	-0.0441484890381316	-0.399414896952449
AP_004898.1	0.0362964177788043	0.425222725954979	0.749722722144776	1.15803256018618	0.491365998245848	-0.364063244805237	0.121153615044101	-0.82917438561751	-0.301950491823444	-0.840774892215385	-0.413073234952386	-0.2796091096027	-0.944949792079342	-1.57477608125456	-0.177422531344897	-1.84397557181958	-0.417536281607611	-1.10831994432716
AP_004899.1	0.714096829761768	-0.373275231701821	-0.178154217092277	-0.0615625855800815	0.349490168884378	-0.855093961224991	-2.16790018228168	-1.45192779239982	-0.902614525947589	-0.315808135642277	-0.464475838347281	-0.40568106266225	-0.902304424496505	-0.280508012513391	-0.805289937299625	-1.04824235136601	-0.395992344511595	-0.667542886891044
AP_004900.1	-0.38069661093339	-0.588320331823513	-0.344117656502602	-0.826369991191309	-0.0902205020994188	-1.09781909096209	-0.706011107284036	-1.07696731544949	-0.857084877910398	-0.156690946621824	-0.570760307520205	-0.25657495948113	-0.638072187010214	-0.596016146704568	-0.642273708462101	-0.55240573871985	-0.138639569757198	-0.514057735019737
AP_004901.1	-0.302918376227541	0.00655714552381288	-0.639592692953401	0.453214134382673	-0.252522300933184	-1.26546703277269	-0.84929873420983	-1.39205391774055	-1.14971990803197	0.0884387405458107	-0.302442146864624	-0.527113447904206	-0.513066561797921	-0.870419487972784	-0.34655895223596	-0.824585775008782	-0.077890639402896	-0.304163780344952
NP_001000613.1	0.0642942034462651	-0.493540407562171	-0.204426308906311	-0.324015764053631	0.106548007744755	-0.788373090013712	0.0233029812952533	-1.16495070323594	-0.583165623913215	-0.0969738949379469	-0.505128196554923	-0.229826035172855	-0.78605748922417	-0.948992659585191	-0.482415691401081	-0.480351095012312	-0.422097822884655	-0.843050465402164
NP_001001512.2	-0.242828688224817	-0.490316359409181	-0.130896376027056	-0.451383677491705	-0.240108984874483	-0.909583732705705	-0.243144419790501	-1.02297484845505	-0.485299921878571	-0.125688151165749	-0.271387317065492	-0.274213574512201	-0.402111787879857	-0.591431665013664	-0.664897800989534	-0.86042472401746	-0.174271279951584	-0.608290182799271
NP_001001514.1	0.134154802156806	-0.29110125092524	-0.1238404311672	-0.61772744030249	0.0569181185063784	-0.670983495175777	0.0570615257197284	-0.864927280511081	-0.484810401710122	NA	NA	NA	NA	NA	NA	NA	NA	NA
NP_001001517.1	-0.0751502153609928	-0.340095711952424	-0.0242900199352124	-0.335679069258323	-0.171090216724539	-1.0553766326942	-0.301669667970487	-1.0329703661102	-0.602635968713104	-0.149612823233397	-0.15738492424503	-0.209280862842594	-0.348165283749781	-0.661341496262558	-0.619590550172849	-0.716336232720512	-0.0329610652885533	-0.297265017031384
NP_001001720.1	0.0676891288024415	-0.0934878247328642	0.438081007357304	-0.468960186391273	-0.0811280339237608	-0.465025703310896	0.629179464085848	-0.922650346559454	-0.0981934717037228	NA	NA	NA	NA	NA	NA	NA	NA	NA
NP_001001969.1	-0.780291966068326	-1.57802431002589	-1.20682461658378	-1.03970432083439	-0.848838260422118	-2.16791332852917	2.65179108782457	-2.65923590914205	-1.76817107770904	NA	NA	NA	NA	NA	NA	NA	NA	NA
NP_001002016.2	-0.24663116087024	-0.469347249025602	-0.119850773246424	-0.463717475285163	-0.251832921379366	-0.902657876178979	-0.0614583600406304	-1.06685048949932	-0.607445996473188	-0.244637749586556	-0.32819799582798	-0.294939493100928	-0.437305362343189	-0.839333696688534	-0.512580853185649	-0.888885850378849	-0.144691473715399	-0.51682553023925
NP_001002805.1	0.0277267810721785	-0.577204753130053	-0.147539102352774	-0.681234760556928	-0.15687599878258	-0.48236312241671	0.537127694689819	-1.14010767972835	-0.430226595981042	-0.488914419925242	-0.630590381308482	-0.362499325027956	-0.589420630814042	-0.90535199786355	-0.703535371477801	-1.09534809316694	-0.315880433320944	-0.761191545562424
NP_001002807.1	-0.62731031631859	-0.560469262689414	-0.269572983792405	-0.707383975552122	-0.393653150142656	-1.05119853600123	0.523904818288034	-1.14070639922583	-0.486919555322616	-0.390708657066141	-0.686156530589622	-0.408197199478452	-0.526751019461514	-0.712591032118416	-0.460122080380702	-0.976253167485423	-0.305574940965322	-0.781275138588355
NP_001002819.2	-0.135520469373045	-0.574786572903988	-0.247666495584866	-0.79440687533889	-0.199432714038949	-0.71128244386763	-0.0107641436362879	-1.10215222611038	-0.632202853023249	-0.180926159486962	-0.871465022802434	-0.563355607861701	-0.514968713234999	-0.643560375526378	-0.680180420080057	-0.829917919286957	-0.309180088278868	-0.732988936845496
NP_001002826.1	0.715010514420207	-1.06999917198847	-0.531545950793781	-1.06938033249685	-0.689866540596122	0.0878111960817904	0.691393089631757	-1.41475381753097	-0.743749228507561	-0.603816048382691	-0.316521321051566	-0.130779763564529	-0.628472189321242	-0.78202713374115	-0.435016127676271	-1.17731189183894	-0.64835740003192	-1.09264327247226
NP_001002851.1	-0.568867035422231	-0.395293078101861	-0.153141770055044	-0.547591142954813	-0.430237698094966	-1.22075835760469	0.18795947517149	-1.02751175802118	-0.492925688630893	-0.337109988166715	-0.556904300347033	-0.392581455261887	-0.568410733750507	-0.88630437778403	-0.598003747555731	-0.772069502375905	-0.117173324843422	-0.624936821269117
NP_001003673.1	-0.0647342387269514	-0.472013458698948	-0.192951194023662	-0.331162774471414	-0.143579901172274	-0.93406881433989	-0.677930907677598	-0.83368620750424	-0.6407972515042	0.0821675111517196	-0.170408413728597	-0.350869959866832	-0.452338308438453	-0.704098512815597	-0.615898431381265	-0.826243083960166	-0.114849298998733	-0.461236904699436
NP_001003708.1	-0.0780761259217861	-0.477968136729466	-0.117646441716076	-0.454768827892781	-0.201360439105799	-0.999367639316453	-0.298110266477875	-1.02576213311679	-0.66924084682242	-0.158977520983538	-0.394661531919837	-0.384094437270556	-0.343766443789938	-0.865478749970984	-0.496076288496115	-0.90967548784104	0.085520650679081	-0.451239538656473
NP_001003709.1	-0.439034526777607	-0.362273922093963	-0.0696123592688758	-0.424997253780353	-0.318302946656066	-0.90904556196369	-0.306206500137028	-0.889343966387368	-0.520364111231966	-0.231705808161443	-0.405697493858445	-0.261506010796085	-0.394097465273493	-0.62557979993617	-0.63053090529795	-0.77377004340813	-0.0490712283895659	-0.35395092880226
NP_001003975.1	-0.186157351755835	-0.509621362838783	-0.438976173108681	-0.46911025389919	-0.247569014079164	-0.935637784854231	-0.898360967898379	-0.963569325223365	-0.802218660853374	0.0764678745724353	-0.291488584948497	-0.482739489525402	-0.432547439233989	-0.797981954625507	-0.524113048300569	-0.709260348178636	-0.212914403840757	-0.509250079280584
NP_001003978.1	-0.331752880058375	-0.426444728233711	-0.196704122280438	-0.500789932345503	-0.317493299404118	-0.857866006111783	-0.374034288561793	-0.914368668357115	-0.567750815146724	-0.170581071500592	-0.285551219498868	-0.26394075081918	-0.383941153488784	-0.71557710514917	-0.602099241129767	-0.765450173808303	-0.0746229991165173	-0.458315156095663
NP_001004021.1	-2.44607814113443	-2.44966433460625	-2.27279640948168	-2.47303186845107	-1.09080172675513	NA	3.23195248712294	-2.95188037453636	-1.46491495286012	NA	NA	NA	NA	NA	NA	NA	NA	NA
NP_001004022.1	-1.26387379882886	-1.65285156513767	-1.42834053091031	-1.4787348089727	-0.621907677092329	-2.99690443331426	3.06582376214139	-2.0956667078751	-1.11022411169455	-0.51641319990459	-1.53522585765459	-1.60149840361155	-1.1830936041857	-1.53014435151755	0.582287318923169	-1.82927655269064	-0.413077558448294	-1.79843706136508
