Dataset	PlexID
MoTrPAC_Pilot_TMT_W_S1_01_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_02_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_03_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_04_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_05_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_06_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_07_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_08_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_09_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_10_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_11_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_12_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_13_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_14_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_15_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_16_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_17_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_18_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_19_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_20_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_21_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_22_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_23_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S1_24_12Oct17_Elm_AQ-17-09-02	S1
MoTrPAC_Pilot_TMT_W_S2_01_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_02_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_03_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_04_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_05_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_06_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_07_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_08_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_09_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_10_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_11_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_12_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_13_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_14_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_15_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_16_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_17_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_18_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_19_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_20_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_21_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_22_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_23_12Oct17_Elm_AQ-17-09-02	S2
MoTrPAC_Pilot_TMT_W_S2_24_12Oct17_Elm_AQ-17-09-02	S2
