Entry	Entry name	Status	Protein names	Organism	Gene names  (primary )	Cross-reference (RefSeq)	Cross-reference (PhosphoSitePlus)
P01946	HBA_RAT	reviewed	Hemoglobin subunit alpha-1/2 (Alpha-1/2-globin) (Hemoglobin alpha-1/2 chain)	Rattus norvegicus (Rat)	Hba1	NP_001007723.1;NP_037228.1;	P01946;
Q9ES73	MAGD1_RAT	reviewed	Melanoma-associated antigen D1 (MAGE-D1 antigen) (Neurotrophin receptor-interacting MAGE homolog) (Sertoli cell necdin-related gene protein 1) (SNERG-1)	Rattus norvegicus (Rat)	Maged1	NP_445861.1;	Q9ES73;
Q7TNK0	SERC1_RAT	reviewed	Serine incorporator 1 (Tumor differentially expressed protein 1-like) (Tumor differentially expressed protein 2)	Rattus norvegicus (Rat)	Serinc1	NP_891996.1;	Q7TNK0;
Q9WUD9	SRC_RAT	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	Rattus norvegicus (Rat)	Src	NP_114183.1 [Q9WUD9-2];XP_008760609.1 [Q9WUD9-2];XP_008760610.1 [Q9WUD9-2];XP_017447554.1 [Q9WUD9-2];XP_017447555.1 [Q9WUD9-2];XP_017447556.1 [Q9WUD9-2];XP_017447557.1 [Q9WUD9-2];XP_017447558.1 [Q9WUD9-2];XP_017447559.1 [Q9WUD9-2];XP_017447560.1 [Q9WUD9-2];XP_017447561.1 [Q9WUD9-1];	Q9WUD9;
P59895	NEK6_RAT	reviewed	Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6)	Rattus norvegicus (Rat)	Nek6	NP_001264161.1;NP_891998.1;XP_006234162.1;XP_017447355.1;	P59895;
O70351	HCD2_RAT	reviewed	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	Rattus norvegicus (Rat)	Hsd17b10	NP_113870.1;	O70351;
O35964	SH3G1_RAT	reviewed	Endophilin-A2 (Endophilin-2) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1) (SH3p8)	Rattus norvegicus (Rat)	Sh3gl1	NP_112518.1;	O35964;
Q5I2P1	TBX5_RAT	reviewed	T-box transcription factor TBX5 (T-box protein 5)	Rattus norvegicus (Rat)	Tbx5	NP_001009964.1;	
Q9QYK2	PRGC1_RAT	reviewed	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha)	Rattus norvegicus (Rat)	Ppargc1a	NP_112637.1;	Q9QYK2;
Q9Z1P2	ACTN1_RAT	reviewed	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	Rattus norvegicus (Rat)	Actn1	NP_112267.1;	Q9Z1P2;
Q8VI82	FGF23_RAT	reviewed	Fibroblast growth factor 23 (FGF-23)	Rattus norvegicus (Rat)	Fgf23	NP_570110.1;	
